(that the effective) Limb_darkening.txt 1
(at p along) Limb_darkening.txt 1
(is a strong) Limb_darkening.txt 1
(to dominate at) Limb_darkening.txt 1
(the intensity will) Limb_darkening.txt 1
(l would be) Limb_darkening.txt 1
(intensity is 80.5) Limb_darkening.txt 1
(0 2 and) Limb_darkening.txt 1
(at angle in) Limb_darkening.txt 1
(detectable from space) Limb_darkening.txt 1
(ultraviolet wavelengths only) Limb_darkening.txt 1
(travel at an) Limb_darkening.txt 1
(at the limb) Limb_darkening.txt 1
(the star the) Limb_darkening.txt 1
(the temperature will) Limb_darkening.txt 1
(from the star) Limb_darkening.txt 3
(the above approximation) Limb_darkening.txt 1
(not always decrease) Limb_darkening.txt 1
(drawing is not) Limb_darkening.txt 1
(some level of) Limb_darkening.txt 1
(the observer at) Limb_darkening.txt 1
(solar astronomers an) Limb_darkening.txt 1
(optical depth is) Limb_darkening.txt 5
(stellar atmosphere is) Limb_darkening.txt 1
(always decrease with) Limb_darkening.txt 1
(point at which) Limb_darkening.txt 1
(from the center) Limb_darkening.txt 2
(sometimes more conveniently) Limb_darkening.txt 1
(transit of venus) Limb_darkening.txt 1
(gradients this encouraged) Limb_darkening.txt 1
(star and the) Limb_darkening.txt 1
(looking near the) Limb_darkening.txt 1
(from which a) Limb_darkening.txt 1
(reaching us is) Limb_darkening.txt 1
(p is outside) Limb_darkening.txt 1
(radiation in the) Limb_darkening.txt 1
(star are no) Limb_darkening.txt 1
(a smooth hydrostatic) Limb_darkening.txt 1
(theory of radiative) Limb_darkening.txt 1
(example for a) Limb_darkening.txt 1
(are over the) Limb_darkening.txt 1
(limb-brightened if spherically) Limb_darkening.txt 1
(the million kelvin) Limb_darkening.txt 1
(for an observer) Limb_darkening.txt 1
(sindd is a) Limb_darkening.txt 1
(high-temperature photons emitted) Limb_darkening.txt 1
(increasing temperature in) Limb_darkening.txt 1
(being unity increases) Limb_darkening.txt 1
(we then have) Limb_darkening.txt 1
(for an increasing) Limb_darkening.txt 1
(is unity in) Limb_darkening.txt 2
(instead the boundary) Limb_darkening.txt 1
(the intensity over) Limb_darkening.txt 1
(level of precision) Limb_darkening.txt 1
(n 2 and) Limb_darkening.txt 1
(and must therefore) Limb_darkening.txt 1
(is usually decreasing) Limb_darkening.txt 1
(must have for) Limb_darkening.txt 1
(of sight must) Limb_darkening.txt 1
(the radiation reaching) Limb_darkening.txt 2
(increases as we) Limb_darkening.txt 1
(solar disk the) Limb_darkening.txt 1
(and has radius) Limb_darkening.txt 1
(by the disk) Limb_darkening.txt 1
(idea of optical) Limb_darkening.txt 1
(from a line) Limb_darkening.txt 1
(integrals are over) Limb_darkening.txt 1
(from space calculation) Limb_darkening.txt 1
(is looking at) Limb_darkening.txt 1
(for n 2) Limb_darkening.txt 1
(of the intensity) Limb_darkening.txt 4
(will the low-temperature) Limb_darkening.txt 1
(at o and) Limb_darkening.txt 1
(of radiation in) Limb_darkening.txt 1
(2012 transit of) Limb_darkening.txt 1
(at point p) Limb_darkening.txt 2
(a line through) Limb_darkening.txt 1
(for example the) Limb_darkening.txt 1
(the star and) Limb_darkening.txt 2
(an idealized case) Limb_darkening.txt 1
(the effective temperature) Limb_darkening.txt 1
(b note that) Limb_darkening.txt 1
(the corona consists) Limb_darkening.txt 1
(the image was) Limb_darkening.txt 1
(image was taken) Limb_darkening.txt 1
(star at first) Limb_darkening.txt 1
(will just barely) Limb_darkening.txt 1
(the temperature in) Limb_darkening.txt 1
(stefanboltzmann law since) Limb_darkening.txt 1
(appears brighter than) Limb_darkening.txt 1
(at a few) Limb_darkening.txt 1
(visible edge of) Limb_darkening.txt 1
(a dimmer luminosity) Limb_darkening.txt 1
(temperature stefanboltzmann law) Limb_darkening.txt 1
(an intensity at) Limb_darkening.txt 1
(rewrite this as) Limb_darkening.txt 1
(distance equal to) Limb_darkening.txt 1
(dimmer luminosity towards) Limb_darkening.txt 1
(equal to one) Limb_darkening.txt 1
(since it is) Limb_darkening.txt 1
(such gradients this) Limb_darkening.txt 1
(angle with respect) Limb_darkening.txt 1
(darkening edit limb) Limb_darkening.txt 1
(has small optical) Limb_darkening.txt 1
(distance for which) Limb_darkening.txt 1
(brightening should start) Limb_darkening.txt 1
(radio wavelengths outside) Limb_darkening.txt 1
(and for certain) Limb_darkening.txt 1
(a black body) Limb_darkening.txt 1
(at infinite distance) Limb_darkening.txt 1
(effect is the) Limb_darkening.txt 1
(direction will be) Limb_darkening.txt 1
(at ultraviolet wavelengths) Limb_darkening.txt 1
(it is at) Limb_darkening.txt 1
(the suns disk) Limb_darkening.txt 1
(in particular if) Limb_darkening.txt 1
(which photons emitted) Limb_darkening.txt 1
(in other words) Limb_darkening.txt 1
(but generally everywhere) Limb_darkening.txt 1
(surface of the) Limb_darkening.txt 1
(a 0 except) Limb_darkening.txt 1
(transition region best) Limb_darkening.txt 1
(the ratio of) Limb_darkening.txt 1
(solved analytically it) Limb_darkening.txt 1
(the limb-darkening effect) Limb_darkening.txt 1
(by so we) Limb_darkening.txt 1
(30 of the) Limb_darkening.txt 1
(start to dominate) Limb_darkening.txt 1
(photons emitted at) Limb_darkening.txt 2
(is the intensity) Limb_darkening.txt 1
(as will the) Limb_darkening.txt 1
(the derivative of) Limb_darkening.txt 1
(a distance equal) Limb_darkening.txt 1
(is the idea) Limb_darkening.txt 1
(the sum of) Limb_darkening.txt 1
(with increasing height) Limb_darkening.txt 1
(intensity at the) Limb_darkening.txt 3
(is well expressed) Limb_darkening.txt 1
(equation can be) Limb_darkening.txt 1
(cannot see to) Limb_darkening.txt 1
(although this equation) Limb_darkening.txt 1
(categories hidden categories) Limb_darkening.txt 1
(2 for the) Limb_darkening.txt 1
(a distance r) Limb_darkening.txt 1
(center the temperature) Limb_darkening.txt 1
(of radiative transfer) Limb_darkening.txt 1
(solid angle element) Limb_darkening.txt 1
(at which the) Limb_darkening.txt 1
(observed at ultraviolet) Limb_darkening.txt 1
(basic theory edit) Limb_darkening.txt 1
(is rather cumbersome) Limb_darkening.txt 1
(same depth as) Limb_darkening.txt 1
(l is a) Limb_darkening.txt 1
(limb darkening as) Limb_darkening.txt 1
(see the optical) Limb_darkening.txt 1
(be limb-brightened if) Limb_darkening.txt 1
(as another example) Limb_darkening.txt 1
(expressed by n) Limb_darkening.txt 1
(central intensity the) Limb_darkening.txt 1
(depths that the) Limb_darkening.txt 1
(central intensity in) Limb_darkening.txt 1
(small optical depth) Limb_darkening.txt 1
(has radius r) Limb_darkening.txt 1
(to the same) Limb_darkening.txt 1
(as a dimmer) Limb_darkening.txt 1
(seen in the) Limb_darkening.txt 1
(up to that) Limb_darkening.txt 1
(the center because) Limb_darkening.txt 1
(which gives for) Limb_darkening.txt 1
(must fail most) Limb_darkening.txt 1
(the phenomenon of) Limb_darkening.txt 1
(wavelengths outside the) Limb_darkening.txt 1
(0 we may) Limb_darkening.txt 1
(the limb the) Limb_darkening.txt 1
(first approximation the) Limb_darkening.txt 1
(the limb of) Limb_darkening.txt 1
(only a few) Limb_darkening.txt 1
(far-infrared or radio) Limb_darkening.txt 1
(limb in fact) Limb_darkening.txt 1
(sun l would) Limb_darkening.txt 1
(be related to) Limb_darkening.txt 1
(of the mean) Limb_darkening.txt 1
(emitted from a) Limb_darkening.txt 1
(deeper in when) Limb_darkening.txt 1
(astronomers an opportunity) Limb_darkening.txt 1
(star can be) Limb_darkening.txt 1
(through the center) Limb_darkening.txt 1
(will have all) Limb_darkening.txt 1
(sight forming angle) Limb_darkening.txt 1
(observer to the) Limb_darkening.txt 1
(must travel at) Limb_darkening.txt 1
(of the image) Limb_darkening.txt 1
(and at some) Limb_darkening.txt 1
(of sight towards) Limb_darkening.txt 1
(the observer is) Limb_darkening.txt 1
(we can convert) Limb_darkening.txt 1
(analysis of stellar) Limb_darkening.txt 1
(power of the) Limb_darkening.txt 1
(where is the) Limb_darkening.txt 1
(visible light showing) Limb_darkening.txt 1
(at which we) Limb_darkening.txt 1
(observer at point) Limb_darkening.txt 1
(optical depth as) Limb_darkening.txt 1
(sight up to) Limb_darkening.txt 1
(infinite at the) Limb_darkening.txt 1
(radiation comes from) Limb_darkening.txt 1
(see cox 2000) Limb_darkening.txt 1
(we see the) Limb_darkening.txt 2
(at an angle) Limb_darkening.txt 1
(star we cannot) Limb_darkening.txt 1
(at an optical) Limb_darkening.txt 1
(nm this says) Limb_darkening.txt 1
(divided by the) Limb_darkening.txt 1
(emission along the) Limb_darkening.txt 1
(is the fact) Limb_darkening.txt 1
(the boundary between) Limb_darkening.txt 1
(can be replaced) Limb_darkening.txt 1
(a will just) Limb_darkening.txt 1
(star is at) Limb_darkening.txt 1
(that the derivative) Limb_darkening.txt 1
(would be only) Limb_darkening.txt 1
(sun in visible) Limb_darkening.txt 1
(the fourth power) Limb_darkening.txt 1
(the ratio be) Limb_darkening.txt 1
(temperature in the) Limb_darkening.txt 1
(star since it) Limb_darkening.txt 1
(is the angle) Limb_darkening.txt 1
(for a typical) Limb_darkening.txt 1
(be greater than) Limb_darkening.txt 1
(the sun the) Limb_darkening.txt 1
(stellar radius and) Limb_darkening.txt 1
(entire line of) Limb_darkening.txt 1
(the chromosphere and) Limb_darkening.txt 1
(idealized case of) Limb_darkening.txt 1
(photons can escape) Limb_darkening.txt 1
(this equation can) Limb_darkening.txt 1
(intensity of radiation) Limb_darkening.txt 1
(and is looking) Limb_darkening.txt 1
(the sun at) Limb_darkening.txt 3
(this model gives) Limb_darkening.txt 1
(law since when) Limb_darkening.txt 1
(angle from the) Limb_darkening.txt 1
(right limb darkening) Limb_darkening.txt 1
(the surface of) Limb_darkening.txt 1
(it is rather) Limb_darkening.txt 1
(optical depth then) Limb_darkening.txt 1
(550 nm this) Limb_darkening.txt 1
(here as long) Limb_darkening.txt 1
(can be used) Limb_darkening.txt 1
(at first approximation) Limb_darkening.txt 1
(is at a) Limb_darkening.txt 1
(observer is at) Limb_darkening.txt 1
(venus seen here) Limb_darkening.txt 1
(the second effect) Limb_darkening.txt 1
(effect as a) Limb_darkening.txt 1
(edge or limb) Limb_darkening.txt 3
(o and has) Limb_darkening.txt 1
(of venus seen) Limb_darkening.txt 1
(very complicated transition) Limb_darkening.txt 1
(radiation emitted from) Limb_darkening.txt 1
(approximated by the) Limb_darkening.txt 1
(gives for the) Limb_darkening.txt 1
(of the disk) Limb_darkening.txt 2
(intensity is proportional) Limb_darkening.txt 1
(d sindd is) Limb_darkening.txt 1
(second effect is) Limb_darkening.txt 1
(however for an) Limb_darkening.txt 1
(the temperature-minimum region) Limb_darkening.txt 1
(which now has) Limb_darkening.txt 1
(of view of) Limb_darkening.txt 1
(unity increases as) Limb_darkening.txt 1
(to scale e.g) Limb_darkening.txt 1
(temperature will be) Limb_darkening.txt 1
(varies linearly with) Limb_darkening.txt 1
(cox 2000 the) Limb_darkening.txt 1
(certain spectral lines) Limb_darkening.txt 1
(wavelengths this region) Limb_darkening.txt 1
(integrated intensity is) Limb_darkening.txt 1
(through the stellar) Limb_darkening.txt 1
(at point s) Limb_darkening.txt 1
(described below assumes) Limb_darkening.txt 1
(the sun where) Limb_darkening.txt 1
(a 1 as) Limb_darkening.txt 1
(existence of rough) Limb_darkening.txt 1
(what defines the) Limb_darkening.txt 1
(of the sun) Limb_darkening.txt 1
(a few optical) Limb_darkening.txt 1
(fact the temperature) Limb_darkening.txt 1
(in when looking) Limb_darkening.txt 1
(just barely escape) Limb_darkening.txt 1
(seen here as) Limb_darkening.txt 1
(can be solved) Limb_darkening.txt 1
(can convert these) Limb_darkening.txt 1
(boundary is the) Limb_darkening.txt 1
(or limb of) Limb_darkening.txt 3
(solid angle subtended) Limb_darkening.txt 1
(to the central) Limb_darkening.txt 1
(disk of only) Limb_darkening.txt 1
(where i is) Limb_darkening.txt 1
(the existence of) Limb_darkening.txt 3
(the star varies) Limb_darkening.txt 1
(depth is unity) Limb_darkening.txt 4
(limb brightening should) Limb_darkening.txt 1
(thin i.e has) Limb_darkening.txt 1
(written as which) Limb_darkening.txt 1
(the centre references) Limb_darkening.txt 1
(an optical depth) Limb_darkening.txt 1
(linearly with optical) Limb_darkening.txt 1
(of stellar limb) Limb_darkening.txt 1
(example the spectrally) Limb_darkening.txt 1
(spot at the) Limb_darkening.txt 1
(is most conveniently) Limb_darkening.txt 1
(than n 1) Limb_darkening.txt 1
(which the optical) Limb_darkening.txt 2
(disk the image) Limb_darkening.txt 1
(i is the) Limb_darkening.txt 2
(dark spot at) Limb_darkening.txt 1
(in the atmosphere) Limb_darkening.txt 1
(wavelengths only detectable) Limb_darkening.txt 1
(when looking near) Limb_darkening.txt 1
(have all a) Limb_darkening.txt 1
(r from the) Limb_darkening.txt 1
(of the angle) Limb_darkening.txt 1
(emitted at b) Limb_darkening.txt 1
(respect to the) Limb_darkening.txt 1
(smooth hydrostatic equilibrium) Limb_darkening.txt 1
(look at the) Limb_darkening.txt 2
(in visible light) Limb_darkening.txt 1
(of the absorbing) Limb_darkening.txt 1
(phenomenon of limb) Limb_darkening.txt 1
