(the two bodies) Penumbra.txt 1
(a bright ring) Penumbra.txt 1
(outer partially dark) Penumbra.txt 1
(moon the moon) Penumbra.txt 1
(are sometimes used) Penumbra.txt 1
(a point source) Penumbra.txt 1
(if the observer) Penumbra.txt 1
(source after impinging) Penumbra.txt 1
(penumbra redirects here) Penumbra.txt 1
(the moon the) Penumbra.txt 1
(the distance from) Penumbra.txt 1
(edges is called) Penumbra.txt 1
(bright ring is) Penumbra.txt 1
(between the moon) Penumbra.txt 1
(source forms a) Penumbra.txt 1
(occluding body an) Penumbra.txt 1
(size the distance) Penumbra.txt 1
(appears entirely contained) Penumbra.txt 1
(darkest part of) Penumbra.txt 1
(such as in) Penumbra.txt 1
(correspondingly farther roughly) Penumbra.txt 1
(umbra experiences a) Penumbra.txt 1
(latin for shadow) Penumbra.txt 1
(ring is visible) Penumbra.txt 1
(roughly equal to) Penumbra.txt 1
(farther roughly 1.4) Penumbra.txt 1
(as in sunspots) Penumbra.txt 1
(the umbra latin) Penumbra.txt 1
(causes a full) Penumbra.txt 1
(called penumbra scale) Penumbra.txt 1
(wikipedia redirected from) Penumbra.txt 1
(is cast these) Penumbra.txt 1
(apex of its) Penumbra.txt 1
(and earth because) Penumbra.txt 1
(and darkest part) Penumbra.txt 1
(annular eclipse in) Penumbra.txt 1
(orbit of the) Penumbra.txt 1
(penumbra scale diagram) Penumbra.txt 1
(completely blocked by) Penumbra.txt 1
(the shadows cast) Penumbra.txt 1
(and antumbra formed) Penumbra.txt 1
(moon its umbra) Penumbra.txt 1
(is the innermost) Penumbra.txt 1
(often used for) Penumbra.txt 1
(round light source) Penumbra.txt 1
(an observer in) Penumbra.txt 2
(penumbra edit penumbra) Penumbra.txt 1
(only the umbra) Penumbra.txt 1
(which the occluding) Penumbra.txt 1
(of the light) Penumbra.txt 1
(shadows cast by) Penumbra.txt 1
(disambiguation umbra penumbra) Penumbra.txt 1
(umbra a and) Penumbra.txt 1
(right circular cone) Penumbra.txt 1
(cast by celestial) Penumbra.txt 1
(here for other) Penumbra.txt 1
(how the umbral) Penumbra.txt 1
(source is completely) Penumbra.txt 1
(its umbra is) Penumbra.txt 1
(are most often) Penumbra.txt 1
(cast these names) Penumbra.txt 1
(object for a) Penumbra.txt 1
(two bodies are) Penumbra.txt 1
(images that could) Penumbra.txt 1
(contained within the) Penumbra.txt 1
(these names are) Penumbra.txt 1
(sometimes used to) Penumbra.txt 1
(which a bright) Penumbra.txt 1
(a shadow created) Penumbra.txt 1
(be seen at) Penumbra.txt 1
(observer moves closer) Penumbra.txt 1
