(body appears entirely) Umbra.txt 1
(points in these) Umbra.txt 1
(its umbra extends) Umbra.txt 1
(of earths shadow) Umbra.txt 1
(levels of darkness) Umbra.txt 1
(yellow dot antumbra) Umbra.txt 1
(the two bodies) Umbra.txt 1
(a bright ring) Umbra.txt 1
(outer partially dark) Umbra.txt 1
(moon the moon) Umbra.txt 1
(are sometimes used) Umbra.txt 1
(a point source) Umbra.txt 1
(if the observer) Umbra.txt 1
(source after impinging) Umbra.txt 1
(penumbra redirects here) Umbra.txt 1
(the moon the) Umbra.txt 1
(the distance from) Umbra.txt 1
(edges is called) Umbra.txt 1
(bright ring is) Umbra.txt 1
(between the moon) Umbra.txt 1
(source forms a) Umbra.txt 1
(occluding body an) Umbra.txt 1
(size the distance) Umbra.txt 1
(appears entirely contained) Umbra.txt 1
(umbra for other) Umbra.txt 1
(such as in) Umbra.txt 1
(correspondingly farther roughly) Umbra.txt 1
(umbra experiences a) Umbra.txt 1
(latin for shadow) Umbra.txt 1
(ring is visible) Umbra.txt 1
(roughly equal to) Umbra.txt 1
(farther roughly 1.4) Umbra.txt 1
(as in sunspots) Umbra.txt 1
(the umbra latin) Umbra.txt 1
(causes a full) Umbra.txt 1
(called penumbra scale) Umbra.txt 1
(wikipedia redirected from) Umbra.txt 1
(is cast these) Umbra.txt 1
(apex of its) Umbra.txt 1
(and earth because) Umbra.txt 1
(and darkest part) Umbra.txt 1
(annular eclipse in) Umbra.txt 1
(orbit of the) Umbra.txt 1
(penumbra scale diagram) Umbra.txt 1
(completely blocked by) Umbra.txt 1
(the shadows cast) Umbra.txt 1
(and antumbra formed) Umbra.txt 1
(moon its umbra) Umbra.txt 1
(is the innermost) Umbra.txt 1
(often used for) Umbra.txt 1
(round light source) Umbra.txt 1
(an observer in) Umbra.txt 2
(penumbra edit penumbra) Umbra.txt 1
(only the umbra) Umbra.txt 1
(which the occluding) Umbra.txt 1
(of the light) Umbra.txt 1
(shadows cast by) Umbra.txt 1
(disambiguation umbra penumbra) Umbra.txt 1
(umbra a and) Umbra.txt 1
(right circular cone) Umbra.txt 1
(cast by celestial) Umbra.txt 1
(here for other) Umbra.txt 1
(how the umbral) Umbra.txt 1
(source is completely) Umbra.txt 1
(its umbra is) Umbra.txt 1
(are most often) Umbra.txt 1
(cast these names) Umbra.txt 1
(object for a) Umbra.txt 1
(two bodies are) Umbra.txt 1
(images that could) Umbra.txt 1
(contained within the) Umbra.txt 1
(these names are) Umbra.txt 1
(sometimes used to) Umbra.txt 1
(which a bright) Umbra.txt 1
(a shadow created) Umbra.txt 1
(be seen at) Umbra.txt 1
(observer moves closer) Umbra.txt 1
