(as archai within) Thales.txt 1
(cyrus was so) Thales.txt 1
(have access to) Thales.txt 1
(him in explaining) Thales.txt 1
(first category includes) Thales.txt 1
(price when demand) Thales.txt 1
(through hardware and) Thales.txt 1
(to have used) Thales.txt 1
(step is to) Thales.txt 1
(babylonian religion the) Thales.txt 1
(itself leading him) Thales.txt 1
(to the person) Thales.txt 1
(external links edit) Thales.txt 1
(have advanced this) Thales.txt 1
(both sides of) Thales.txt 1
(of genuineness doubts) Thales.txt 1
(fact that thal) Thales.txt 1
(miletus in asia) Thales.txt 1
(thales discovering the) Thales.txt 1
(a personal challenge) Thales.txt 1
(one this sort) Thales.txt 1
(for example in) Thales.txt 1
(end and knowledge) Thales.txt 1
(he was the) Thales.txt 2
(b6 811 1721) Thales.txt 1
(thales it is) Thales.txt 1
(which the objects) Thales.txt 1
(have one admitted) Thales.txt 1
(sight the seked) Thales.txt 1
(and earth it) Thales.txt 1
(story however asserts) Thales.txt 1
(capture the new) Thales.txt 1
(citizen unless he) Thales.txt 1
(with as time) Thales.txt 1
(its the ridge) Thales.txt 1
(coming after them) Thales.txt 1
(on the other) Thales.txt 2
(all would have) Thales.txt 1
(italian but he) Thales.txt 1
(all the subordinate) Thales.txt 1
(same meaning a) Thales.txt 1
(for us to) Thales.txt 1
(cites historian o) Thales.txt 1
(93 to get) Thales.txt 1
(to hold the) Thales.txt 1
(problems 56 57) Thales.txt 1
(historian roger l) Thales.txt 1
(professional philosopher tutor) Thales.txt 1
(related to our) Thales.txt 1
(in the harbor) Thales.txt 1
(on thales living) Thales.txt 1
(thales also described) Thales.txt 1
(of generalized geometrical) Thales.txt 1
(and not in) Thales.txt 1
(the intelligent man) Thales.txt 1
(rather than oral) Thales.txt 1
(an incipient matter-and-formist) Thales.txt 1
(water thales was) Thales.txt 1
(but still characteristic) Thales.txt 1
(fact from legend) Thales.txt 1
(the position that) Thales.txt 1
(him who had) Thales.txt 1
(in metaphysics 983) Thales.txt 1
(to as saros) Thales.txt 1
(is the only) Thales.txt 1
(animation per se) Thales.txt 1
(the only principles) Thales.txt 1
(with the lydians) Thales.txt 1
(quite a reputable) Thales.txt 1
(concluded that one) Thales.txt 1
(and cleobuline whose) Thales.txt 1
(travelled whether on) Thales.txt 1
(angles of an) Thales.txt 2
(own observations to) Thales.txt 1
(however did not) Thales.txt 1
(thales showed how) Thales.txt 1
(douris and democritus) Thales.txt 1
(agree was interested) Thales.txt 1
(analogy the year) Thales.txt 1
(beings for he) Thales.txt 1
(agree that thales) Thales.txt 2
(under the protection) Thales.txt 1
(he needed he) Thales.txt 1
(philosophers chapter 1.39) Thales.txt 1
(other greek thinkers) Thales.txt 1
(discovered as eudemus) Thales.txt 1
(physical doctrines there) Thales.txt 1
(xenophanes and heraclitus) Thales.txt 1
(assigned to them) Thales.txt 1
(delphinian apollo after) Thales.txt 1
(270 bc but) Thales.txt 1
(gar chorei the) Thales.txt 1
(milesians that philosophy) Thales.txt 1
(mercenaries and sent) Thales.txt 1
(of the circle) Thales.txt 1
(the opinion of) Thales.txt 1
(are to believe) Thales.txt 1
(other quotes from) Thales.txt 1
(categories the theory) Thales.txt 1
(nothing about babylonian) Thales.txt 1
(also calculate correctly) Thales.txt 1
(appears as a) Thales.txt 1
(sweat and tears) Thales.txt 1
(in the supernatural) Thales.txt 1
(dicks question whether) Thales.txt 1
(dominating all the) Thales.txt 1
(the result of) Thales.txt 1
(book by thales) Thales.txt 1
(of the pleiades) Thales.txt 1
(of ursa minor) Thales.txt 1
(the concern for) Thales.txt 1
(stamp on thought) Thales.txt 1
(us something about) Thales.txt 1
(form which modern) Thales.txt 1
(ousia and physis) Thales.txt 1
(the archai that) Thales.txt 1
(western history some) Thales.txt 1
(it follows that) Thales.txt 1
(greek philosopher mathematician) Thales.txt 1
(any writings or) Thales.txt 1
(the soul as) Thales.txt 1
(immediate pupils of) Thales.txt 1
(the truth of) Thales.txt 1
(it comes from) Thales.txt 1
(c 194-120 bc) Thales.txt 1
(to demonstrate that) Thales.txt 1
(that when two) Thales.txt 1
(build him up) Thales.txt 1
(on nile flooding) Thales.txt 1
(new to human) Thales.txt 1
(mediterranean did believe) Thales.txt 1
(two intersecting lines) Thales.txt 1
(its distance from) Thales.txt 1
(have had a) Thales.txt 1
(position that thales) Thales.txt 1
(how thales achieved) Thales.txt 1
(n bychkov holds) Thales.txt 1
(see how thales) Thales.txt 1
(historian that claims) Thales.txt 1
(a king had) Thales.txt 1
(mind as though) Thales.txt 1
(theorem see also) Thales.txt 1
(dependencies of the) Thales.txt 1
(into 12 parts) Thales.txt 1
(do not disappear) Thales.txt 1
(have studied with) Thales.txt 1
(the story has) Thales.txt 1
(ford it rather) Thales.txt 1
(on western history) Thales.txt 1
(therefore on western) Thales.txt 1
(he is a) Thales.txt 1
(comes to us) Thales.txt 2
(the 6th century) Thales.txt 1
(585 bc diogenes) Thales.txt 1
(with the medes) Thales.txt 2
(pythagoras and plato) Thales.txt 1
(is more used) Thales.txt 1
(that he spared) Thales.txt 1
(names are indigenous) Thales.txt 1
(through a passage) Thales.txt 1
(come to power) Thales.txt 1
(sent emissaries to) Thales.txt 1
(protection of poseidon) Thales.txt 1
(primal origin and) Thales.txt 1
(conclusion by contemplating) Thales.txt 1
(cites thales as) Thales.txt 1
(of ionia the) Thales.txt 1
(fifth hand obviously) Thales.txt 1
(if the arche) Thales.txt 1
(cycle in his) Thales.txt 1
(of measuring them) Thales.txt 1
(and astronomy which) Thales.txt 1
(a logically arranged) Thales.txt 1
(principles of all) Thales.txt 1
(just as effective) Thales.txt 1
