(as in) Focus_(optics).txt 1
(reflect light) Focus_(optics).txt 1
(converged almost) Focus_(optics).txt 1
(confusion criterion) Focus_(optics).txt 1
(from the) Focus_(optics).txt 6
(although the) Focus_(optics).txt 1
(of significant) Focus_(optics).txt 1
(wikipedia for) Focus_(optics).txt 1
(from which) Focus_(optics).txt 1
(diameter increases) Focus_(optics).txt 1
(focus to) Focus_(optics).txt 1
(can focus) Focus_(optics).txt 1
(special focus) Focus_(optics).txt 1
(optics a) Focus_(optics).txt 1
(a special) Focus_(optics).txt 1
(accommodation eye) Focus_(optics).txt 1
(called an) Focus_(optics).txt 1
(rays from) Focus_(optics).txt 1
(physically the) Focus_(optics).txt 1
(from object) Focus_(optics).txt 1
(of focus) Focus_(optics).txt 2
(corresponding point) Focus_(optics).txt 1
(possible blur) Focus_(optics).txt 1
(diverging negative) Focus_(optics).txt 1
(on the) Focus_(optics).txt 2
(appear as) Focus_(optics).txt 1
(reflect rays) Focus_(optics).txt 2
(which the) Focus_(optics).txt 1
(focusing ideally) Focus_(optics).txt 1
(point in) Focus_(optics).txt 1
(caused by) Focus_(optics).txt 2
(will reflect) Focus_(optics).txt 3
(not focus) Focus_(optics).txt 1
(light from) Focus_(optics).txt 1
(a corresponding) Focus_(optics).txt 1
(while the) Focus_(optics).txt 1
(a spatial) Focus_(optics).txt 1
(the absence) Focus_(optics).txt 1
(point from) Focus_(optics).txt 1
(is sometimes) Focus_(optics).txt 1
(point on) Focus_(optics).txt 3
(the smallest) Focus_(optics).txt 1
(spatial extent) Focus_(optics).txt 1
(if light) Focus_(optics).txt 2
(it can) Focus_(optics).txt 1
(airy circle) Focus_(optics).txt 1
(is converged) Focus_(optics).txt 1
(as much) Focus_(optics).txt 1
(light to) Focus_(optics).txt 1
(in the) Focus_(optics).txt 2
(other focus) Focus_(optics).txt 1
(cassegrain telescope) Focus_(optics).txt 1
(focus if) Focus_(optics).txt 2
(point physically) Focus_(optics).txt 1
(for large) Focus_(optics).txt 1
(aperture aberrations) Focus_(optics).txt 1
(partially in) Focus_(optics).txt 1
