started Solar_eclipse_of_June_8,_1918.txt 1 74 
attempted Solar_eclipse_of_June_8,_1918.txt 1 477 
apparent Solar_eclipse_of_June_8,_1918.txt 1 584 
albert Solar_eclipse_of_June_8,_1918.txt 1 452 
occurred Solar_eclipse_of_June_8,_1918.txt 1 11 
oregon Solar_eclipse_of_June_8,_1918.txt 5 30 48 189 204 237 
site Solar_eclipse_of_June_8,_1918.txt 1 372 
1919 Solar_eclipse_of_June_8,_1918.txt 1 523 
1918 Solar_eclipse_of_June_8,_1918.txt 4 5 15 172 191 
finished Solar_eclipse_of_June_8,_1918.txt 1 169 
part Solar_eclipse_of_June_8,_1918.txt 2 46 85 
related Solar_eclipse_of_June_8,_1918.txt 1 524 
solar Solar_eclipse_of_June_8,_1918.txt 9 0 9 173 367 518 556 569 593 605 
covered Solar_eclipse_of_June_8,_1918.txt 1 406 
an Solar_eclipse_of_June_8,_1918.txt 2 300 573 
1915 Solar_eclipse_of_June_8,_1918.txt 1 449 
hidden Solar_eclipse_of_June_8,_1918.txt 1 630 
earth Solar_eclipse_of_June_8,_1918.txt 1 547 
he Solar_eclipse_of_June_8,_1918.txt 3 326 330 342 
observatory Solar_eclipse_of_June_8,_1918.txt 6 24 217 358 440 442 446 
were Solar_eclipse_of_June_8,_1918.txt 2 426 528 
einsteins Solar_eclipse_of_June_8,_1918.txt 1 480 
this Solar_eclipse_of_June_8,_1918.txt 2 419 508 
reliable Solar_eclipse_of_June_8,_1918.txt 1 308 
eclipse Solar_eclipse_of_June_8,_1918.txt 16 1 10 17 53 73 168 174 233 284 317 433 519 540 557 570 575 
never Solar_eclipse_of_June_8,_1918.txt 1 588 
can Solar_eclipse_of_June_8,_1918.txt 1 548 
below Solar_eclipse_of_June_8,_1918.txt 1 33 
validity Solar_eclipse_of_June_8,_1918.txt 1 512 
thin Solar_eclipse_of_June_8,_1918.txt 1 409 
of Solar_eclipse_of_June_8,_1918.txt 32 2 47 51 71 76 86 130 152 162 166 186 203 208 223 271 279 334 337 356 365 451 457 482 492 505 510 513 520 545 595 604 620 
following Solar_eclipse_of_June_8,_1918.txt 1 447 
making Solar_eclipse_of_June_8,_1918.txt 1 242 
eclipses Solar_eclipse_of_June_8,_1918.txt 5 295 525 531 594 606 
animated Solar_eclipse_of_June_8,_1918.txt 1 67 
mitchell Solar_eclipse_of_June_8,_1918.txt 1 290 
colour Solar_eclipse_of_June_8,_1918.txt 1 309 
usno Solar_eclipse_of_June_8,_1918.txt 2 218 475 
and Solar_eclipse_of_June_8,_1918.txt 16 89 99 105 136 140 197 248 274 277 296 302 350 443 554 586 612 
alternating Solar_eclipse_of_June_8,_1918.txt 1 618 
lick Solar_eclipse_of_June_8,_1918.txt 1 441 
aerial Solar_eclipse_of_June_8,_1918.txt 1 184 
links Solar_eclipse_of_June_8,_1918.txt 1 627 
expedition Solar_eclipse_of_June_8,_1918.txt 1 476 
minutes Solar_eclipse_of_June_8,_1918.txt 1 417 
moved Solar_eclipse_of_June_8,_1918.txt 1 199 
it Solar_eclipse_of_June_8,_1918.txt 4 126 145 267 322 
alaska Solar_eclipse_of_June_8,_1918.txt 1 163 
states Solar_eclipse_of_June_8,_1918.txt 2 62 104 
as Solar_eclipse_of_June_8,_1918.txt 8 127 144 266 291 379 388 423 471 
at Solar_eclipse_of_June_8,_1918.txt 4 26 158 318 617 
19161920 Solar_eclipse_of_June_8,_1918.txt 1 596 
in Solar_eclipse_of_June_8,_1918.txt 7 29 93 155 190 234 304 600 
watched Solar_eclipse_of_June_8,_1918.txt 1 387 
leaving Solar_eclipse_of_June_8,_1918.txt 1 507 
their Solar_eclipse_of_June_8,_1918.txt 2 370 399 
contents Solar_eclipse_of_June_8,_1918.txt 1 63 
influenced Solar_eclipse_of_June_8,_1918.txt 1 268 
wilson Solar_eclipse_of_June_8,_1918.txt 1 445 
u.s Solar_eclipse_of_June_8,_1918.txt 3 22 180 215 
angle Solar_eclipse_of_June_8,_1918.txt 1 278 
grant Solar_eclipse_of_June_8,_1918.txt 1 222 
country Solar_eclipse_of_June_8,_1918.txt 2 210 430 
44 Solar_eclipse_of_June_8,_1918.txt 1 137 
when Solar_eclipse_of_June_8,_1918.txt 3 36 464 578 
illinois Solar_eclipse_of_June_8,_1918.txt 1 357 
member Solar_eclipse_of_June_8,_1918.txt 1 599 
also Solar_eclipse_of_June_8,_1918.txt 1 435 
bermuda Solar_eclipse_of_June_8,_1918.txt 1 171 
role Solar_eclipse_of_June_8,_1918.txt 1 312 
which Solar_eclipse_of_June_8,_1918.txt 2 542 576 
largest Solar_eclipse_of_June_8,_1918.txt 1 114 
9 Solar_eclipse_of_June_8,_1918.txt 1 98 
every Solar_eclipse_of_June_8,_1918.txt 1 609 
used Solar_eclipse_of_June_8,_1918.txt 1 331 
congress Solar_eclipse_of_June_8,_1918.txt 1 226 
transient Solar_eclipse_of_June_8,_1918.txt 1 346 
track Solar_eclipse_of_June_8,_1918.txt 1 50 
cloud Solar_eclipse_of_June_8,_1918.txt 3 272 410 499 
hammond Solar_eclipse_of_June_8,_1918.txt 1 251 
june Solar_eclipse_of_June_8,_1918.txt 4 3 13 97 111 
took Solar_eclipse_of_June_8,_1918.txt 1 559 
most Solar_eclipse_of_June_8,_1918.txt 1 400 
rays Solar_eclipse_of_June_8,_1918.txt 1 42 
preparations Solar_eclipse_of_June_8,_1918.txt 1 243 
71 Solar_eclipse_of_June_8,_1918.txt 1 141 
70 Solar_eclipse_of_June_8,_1918.txt 1 135 
included Solar_eclipse_of_June_8,_1918.txt 1 287 
such Solar_eclipse_of_June_8,_1918.txt 1 470 
validate Solar_eclipse_of_June_8,_1918.txt 1 479 
america Solar_eclipse_of_June_8,_1918.txt 2 148 566 
mount Solar_eclipse_of_June_8,_1918.txt 1 444 
3,500 Solar_eclipse_of_June_8,_1918.txt 1 224 
a Solar_eclipse_of_June_8,_1918.txt 14 7 21 55 159 220 228 305 332 408 467 537 582 601 615 
butlers Solar_eclipse_of_June_8,_1918.txt 1 311 
observation Solar_eclipse_of_June_8,_1918.txt 2 181 377 
light Solar_eclipse_of_June_8,_1918.txt 2 460 483 
baker Solar_eclipse_of_June_8,_1918.txt 4 27 187 235 257 
later Solar_eclipse_of_June_8,_1918.txt 2 328 418 
cover Solar_eclipse_of_June_8,_1918.txt 2 273 500 
orbit Solar_eclipse_of_June_8,_1918.txt 1 623 
km Solar_eclipse_of_June_8,_1918.txt 1 142 
ocean Solar_eclipse_of_June_8,_1918.txt 1 82 
observe Solar_eclipse_of_June_8,_1918.txt 1 231 
time Solar_eclipse_of_June_8,_1918.txt 2 306 381 
taking Solar_eclipse_of_June_8,_1918.txt 1 335 
five Solar_eclipse_of_June_8,_1918.txt 1 416 
the Solar_eclipse_of_June_8,_1918.txt 66 16 31 37 40 49 52 58 64 69 72 80 90 102 113 128 131 149 156 164 167 192 201 206 209 214 232 238 245 253 262 269 275 280 283 285 316 338 354 360 366 380 385 391 393 403 411 429 432 438 448 472 474 486 490 495 498 511 517 534 543 546 552 567 579 591 621 
first Solar_eclipse_of_June_8,_1918.txt 3 254 361 535 
painting Solar_eclipse_of_June_8,_1918.txt 2 32 175 
came Solar_eclipse_of_June_8,_1918.txt 1 382 
effects Solar_eclipse_of_June_8,_1918.txt 1 347 
